Generated by GetData Graph Digitizer 2.26.0.20 on October 30 2020, 17:12
from file 'C:\Users\kariln\Pictures\Skjermbilde.JPG'

Line #1
 0.00000000000000e+000    0.00000000000000e+000
 2.70270270270270e-004    5.52147239263804e+000
 5.79150579150579e-004    1.28834355828221e+001
 9.26640926640927e-004    2.20858895705521e+001
 1.31274131274131e-003    3.12883435582822e+001
 1.66023166023166e-003    3.86503067484663e+001
 1.96911196911197e-003    4.60122699386503e+001
 2.20077220077220e-003    5.15337423312883e+001
 2.39382239382239e-003    5.52147239263804e+001
 2.66409266409266e-003    6.25766871165644e+001
 2.97297297297297e-003    6.99386503067485e+001
 3.32046332046332e-003    7.73006134969325e+001
 3.74517374517374e-003    8.83435582822086e+001
 4.09266409266409e-003    9.57055214723926e+001
 4.40154440154440e-003    1.03067484662577e+002
 4.71042471042471e-003    1.10429447852761e+002
 4.98069498069498e-003    1.17791411042945e+002
 5.13513513513513e-003    1.17791411042945e+002
 5.59845559845560e-003    1.19631901840491e+002
 6.06177606177606e-003    1.21472392638037e+002
 6.56370656370656e-003    1.23312883435583e+002
 6.98841698841699e-003    1.25153374233129e+002
 7.41312741312741e-003    1.26993865030675e+002
 7.79922779922780e-003    1.28834355828221e+002
 8.33976833976834e-003    1.30674846625767e+002
 8.80308880308880e-003    1.32515337423313e+002
 9.30501930501931e-003    1.34355828220859e+002
 9.65250965250965e-003    1.36196319018405e+002
 1.00000000000000e-002    1.38036809815951e+002

Line #2
 0.00000000000000e+000    0.00000000000000e+000
 3.86100386100386e-004    1.84049079754601e+000
 5.40540540540541e-004    3.68098159509202e+000
 7.33590733590734e-004    5.52147239263804e+000
 8.88030888030888e-004    7.36196319018405e+000
 1.15830115830116e-003    9.20245398773006e+000
 1.35135135135135e-003    1.10429447852761e+001
 1.62162162162162e-003    1.28834355828221e+001
 1.77606177606178e-003    1.47239263803681e+001
 2.12355212355212e-003    1.65644171779141e+001
 2.27799227799228e-003    1.84049079754601e+001
 2.54826254826255e-003    2.02453987730061e+001
 2.70270270270270e-003    2.20858895705521e+001
 3.01158301158301e-003    2.39263803680982e+001
 3.16602316602317e-003    2.57668711656442e+001
 3.39768339768340e-003    2.76073619631902e+001
 3.55212355212355e-003    2.94478527607362e+001
 3.89961389961390e-003    3.12883435582822e+001
 4.01544401544401e-003    3.31288343558282e+001
 4.28571428571429e-003    3.49693251533742e+001
 4.47876447876448e-003    3.68098159509202e+001
 4.78764478764479e-003    3.86503067484663e+001
 4.98069498069498e-003    4.04907975460123e+001
 5.21235521235521e-003    4.23312883435583e+001
 5.55984555984556e-003    4.41717791411043e+001
 5.79150579150579e-003    4.41717791411043e+001
 6.13899613899614e-003    4.60122699386503e+001
 6.56370656370656e-003    4.78527607361963e+001
 6.87258687258687e-003    4.96932515337423e+001
 7.14285714285714e-003    4.96932515337423e+001
 7.45173745173745e-003    5.15337423312883e+001
 7.99227799227799e-003    5.33742331288344e+001
 8.41698841698842e-003    5.52147239263804e+001
 8.99613899613900e-003    5.70552147239264e+001
 9.34362934362934e-003    5.88957055214724e+001
 9.72972972972973e-003    6.07361963190184e+001
 1.00000000000000e-002    6.25766871165644e+001

Line #3
 1.15830115830116e-004    5.52147239263804e+000
 3.86100386100386e-004    1.84049079754601e+001
 7.33590733590734e-004    3.49693251533742e+001
 1.11969111969112e-003    5.33742331288344e+001
 1.50579150579151e-003    7.17791411042945e+001
 1.77606177606178e-003    8.46625766871166e+001
 2.74131274131274e-003    1.30674846625767e+002
 3.39768339768340e-003    1.61963190184049e+002
 3.86100386100386e-003    1.84049079754601e+002
 4.16988416988417e-003    1.98773006134969e+002
 4.51737451737452e-003    2.15337423312883e+002
 4.71042471042471e-003    2.24539877300614e+002
 4.90347490347490e-003    2.35582822085890e+002
 5.05791505791506e-003    2.41104294478528e+002
 6.13899613899614e-003    2.42944785276074e+002
 6.75675675675676e-003    2.44785276073620e+002
 7.25868725868726e-003    2.46625766871166e+002
 8.03088803088803e-003    2.48466257668712e+002
 8.45559845559845e-003    2.50306748466258e+002
 9.15057915057915e-003    2.52147239263804e+002
 9.76833976833977e-003    2.53987730061350e+002
 1.00000000000000e-002    2.55828220858896e+002
